,Código da IES,Nome da IES,Categoria Administrativa,Código da Área,Área de Avaliação,Código do Município,Município do Curso,Nº de Concluintes Inscritos,Nº de Concluintes Participantes,Conceito Enade (Contínuo),CPC (Contínuo),CPC (Faixa),Ano
4042,1360,FACULDADE SÃO GABRIEL,PRIVADA,22,CIÊNCIAS CONTÁBEIS,220200311001,TERESINA,16.0,23.0,1.223526120185852,1.3835030794143677,2,2009
4043,1362,FACULDADE UBAENSE OZANAM COELHO,PRIVADA,1,ADMINISTRAÇÃO,311206469901,UBA,111.0,64.0,2.494046449661255,2.0223398208618164,3,2009
4044,1362,FACULDADE UBAENSE OZANAM COELHO,PRIVADA,8,COMUNICAÇÃO SOCIAL,311206469901,UBA,31.0,18.0,4.403954982757568,3.2384753227233887,4,2009
4045,1362,FACULDADE UBAENSE OZANAM COELHO,PRIVADA,22,CIÊNCIAS CONTÁBEIS,311206469901,UBA,91.0,32.0,2.3079333305358887,1.9263783693313599,2,2009
4046,1363,FACULDADE VISCONDE DE CAIRÚ,PRIVADA,1,ADMINISTRAÇÃO,290502127408,SALVADOR,86.0,144.0,1.714221477508545,1.7534137964248657,2,2009
4047,1363,FACULDADE VISCONDE DE CAIRÚ,PRIVADA,29,TURISMO,290502127408,SALVADOR,3.0,23.0,2.4807915687561035,1.8633800745010376,2,2009
4048,1364,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE VITÓRIA DA CONQUISTA,PRIVADA,1,ADMINISTRAÇÃO,290602833307,VITORIA DA CONQUISTA,28.0,86.0,2.345545530319214,1.9683064222335815,3,2009
4049,1364,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE VITÓRIA DA CONQUISTA,PRIVADA,2,DIREITO,290602833307,VITORIA DA CONQUISTA,49.0,83.0,1.7881768941879272,1.7942484617233276,2,2009
4051,1364,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE VITÓRIA DA CONQUISTA,PRIVADA,18,PSICOLOGIA,290602833307,VITORIA DA CONQUISTA,17.0,118.0,1.0892242193222046,1.1602526903152466,2,2009
4053,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,PRIVADA,1,ADMINISTRAÇÃO,350703115152,ENGENHEIRO COELHO,47.0,47.0,2.357114791870117,2.6252126693725586,3,2009
4054,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,PRIVADA,1,ADMINISTRAÇÃO,351506150308,SAO PAULO,35.0,82.0,1.6260566711425781,2.245238780975342,3,2009
4055,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,PRIVADA,2,DIREITO,350703115152,ENGENHEIRO COELHO,59.0,49.0,2.3833703994750977,3.0793704986572266,4,2009
4056,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,PRIVADA,8,COMUNICAÇÃO SOCIAL,350703115152,ENGENHEIRO COELHO,35.0,24.0,3.4852545261383057,2.6495327949523926,3,2009
4057,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,PRIVADA,8,COMUNICAÇÃO SOCIAL,350703115152,ENGENHEIRO COELHO,39.0,37.0,3.6026010513305664,3.2593369483947754,4,2009
4058,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,PRIVADA,18,PSICOLOGIA,351506150308,SAO PAULO,46.0,25.0,2.7830967903137207,2.6538491249084473,3,2009
4059,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,PRIVADA,22,CIÊNCIAS CONTÁBEIS,350703115152,ENGENHEIRO COELHO,33.0,28.0,2.876735210418701,3.061924695968628,4,2009
4060,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,PRIVADA,22,CIÊNCIAS CONTÁBEIS,351506150308,SAO PAULO,22.0,16.0,1.9791889190673828,2.511329174041748,3,2009
4061,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,PRIVADA,43,MÚSICA,350703115152,ENGENHEIRO COELHO,38.0,35.0,1.6326358318328857,2.2135815620422363,3,2009
4062,1371,FACULDADE DE MIRANDÓPOLIS,PRIVADA,1,ADMINISTRAÇÃO,350301630102,MIRANDOPOLIS,21.0,37.0,1.0635230541229248,1.3151134252548218,2,2009
4063,1373,FACULDADE CASA BRANCA,PRIVADA,1,ADMINISTRAÇÃO,350703010807,CASA BRANCA,24.0,39.0,1.5814807415008545,1.5086385011672974,2,2009
4066,1374,FACULDADE DE CIÊNCIAS SOCIAIS DE GUARANTÃ DO NORTE,PRIVADA,1,ADMINISTRAÇÃO,510100304104,GUARANTA DO NORTE,17.0,20.0,2.6166744232177734,2.1217644214630127,3,2009
4068,1375,FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA,PRIVADA,1,ADMINISTRAÇÃO,510301401258,ARAPUTANGA,31.0,26.0,0.46738412976264954,1.0210689306259155,2,2009
4069,1375,FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA,PRIVADA,2,DIREITO,510301401258,ARAPUTANGA,56.0,68.0,1.681441068649292,1.8654747009277344,2,2009
4070,1375,FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA,PRIVADA,22,CIÊNCIAS CONTÁBEIS,510301401258,ARAPUTANGA,52.0,26.0,0.6841421127319336,1.0225311517715454,2,2009
4071,1379,FACULDADES INTEGRADAS SÃO PEDRO,PRIVADA,2,DIREITO,320300905309,VITORIA,12.0,36.0,3.9153032302856445,2.952266216278076,4,2009
4072,1379,FACULDADES INTEGRADAS SÃO PEDRO,PRIVADA,8,COMUNICAÇÃO SOCIAL,320300905309,VITORIA,25.0,28.0,3.0849995613098145,2.602158784866333,3,2009
4073,1379,FACULDADES INTEGRADAS SÃO PEDRO,PRIVADA,8,COMUNICAÇÃO SOCIAL,320300905309,VITORIA,39.0,38.0,2.912670135498047,2.7975549697875977,3,2009
4075,1379,FACULDADES INTEGRADAS SÃO PEDRO,PRIVADA,18,PSICOLOGIA,320300905309,VITORIA,52.0,73.0,2.4593234062194824,2.520653009414673,3,2009
4076,1381,FACULDADE MARTHA FALCÃO,PRIVADA,1,ADMINISTRAÇÃO,130300702603,MANAUS,46.0,25.0,2.378798484802246,2.1863393783569336,3,2009
4077,1381,FACULDADE MARTHA FALCÃO,PRIVADA,2,DIREITO,130300702603,MANAUS,115.0,58.0,1.9853894710540771,1.7904554605484009,2,2009
4080,1381,FACULDADE MARTHA FALCÃO,PRIVADA,18,PSICOLOGIA,130300702603,MANAUS,6.0,14.0,1.9769073724746704,2.003413200378418,3,2009
4081,1381,FACULDADE MARTHA FALCÃO,PRIVADA,22,CIÊNCIAS CONTÁBEIS,130300702603,MANAUS,47.0,83.0,1.6921746730804443,1.6384273767471313,2,2009
4082,1381,FACULDADE MARTHA FALCÃO,PRIVADA,26,DESIGN,130300702603,MANAUS,22.0,44.0,2.0878407955169678,1.5099269151687622,2,2009
4083,1383,FACULDADE JOSÉ LACERDA FILHO DE CIÊNCIAS APLICADAS,PRIVADA,1,ADMINISTRAÇÃO,260501807208,IPOJUCA,41.0,79.0,1.1078835725784302,1.273589849472046,2,2009
4084,1383,FACULDADE JOSÉ LACERDA FILHO DE CIÊNCIAS APLICADAS,PRIVADA,22,CIÊNCIAS CONTÁBEIS,260501807208,IPOJUCA,33.0,53.0,1.8079884052276611,1.749011754989624,2,2009
4085,1384,FACULDADE SANTA HELENA,PRIVADA,1,ADMINISTRAÇÃO,260501711606,RECIFE,182.0,208.0,1.5373926162719727,1.4205222129821777,2,2009
4086,1384,FACULDADE SANTA HELENA,PRIVADA,22,CIÊNCIAS CONTÁBEIS,260501711606,RECIFE,164.0,113.0,1.3358547687530518,1.2186492681503296,2,2009
4087,1384,FACULDADE SANTA HELENA,PRIVADA,29,TURISMO,260501711606,RECIFE,29.0,16.0,2.5575685501098633,2.1569719314575195,3,2009
4088,1385,FACULDADES INTEGRADAS IPEP,PRIVADA,1,ADMINISTRAÇÃO,350703209502,CAMPINAS,17.0,179.0,1.475184679031372,1.0604326725006104,2,2009
4089,1385,FACULDADES INTEGRADAS IPEP,PRIVADA,1,ADMINISTRAÇÃO,351506150308,SAO PAULO,22.0,22.0,1.1125909090042114,1.003684639930725,2,2009
4090,1385,FACULDADES INTEGRADAS IPEP,PRIVADA,8,COMUNICAÇÃO SOCIAL,350703209502,CAMPINAS,10.0,33.0,1.2921900749206543,1.187497854232788,2,2009
4091,1385,FACULDADES INTEGRADAS IPEP,PRIVADA,8,COMUNICAÇÃO SOCIAL,350703209502,CAMPINAS,17.0,13.0,0.4418034851551056,0.8823814988136292,1,2009
4092,1386,"ESCOLA SUPERIOR DE ADMINISTRAÇÃO, MARKETING E COMUNICAÇÃO DE CAMPINAS",PRIVADA,1,ADMINISTRAÇÃO,350703209502,CAMPINAS,29.0,69.0,4.0100603103637695,3.121273994445801,4,2009
4095,1386,"ESCOLA SUPERIOR DE ADMINISTRAÇÃO, MARKETING E COMUNICAÇÃO DE CAMPINAS",PRIVADA,8,COMUNICAÇÃO SOCIAL,350703209502,CAMPINAS,15.0,89.0,2.46342134475708,2.396773338317871,3,2009
4099,1386,"ESCOLA SUPERIOR DE ADMINISTRAÇÃO, MARKETING E COMUNICAÇÃO DE CAMPINAS",PRIVADA,26,DESIGN,350703209502,CAMPINAS,17.0,3.0,2.536041498184204,1.8579161167144775,2,2009
4100,1386,"ESCOLA SUPERIOR DE ADMINISTRAÇÃO, MARKETING E COMUNICAÇÃO DE CAMPINAS",PRIVADA,81,RELAÇÕES INTERNACIONAIS,350703209502,CAMPINAS,29.0,8.0,2.0901925563812256,2.087059497833252,3,2009
4101,1388,FACULDADE SUMARÉ,PRIVADA,1,ADMINISTRAÇÃO,351506150308,SAO PAULO,668.0,288.0,1.468818187713623,1.8424618244171143,2,2009
4102,1388,FACULDADE SUMARÉ,PRIVADA,22,CIÊNCIAS CONTÁBEIS,351506150308,SAO PAULO,194.0,121.0,2.041900634765625,2.025881767272949,3,2009
4103,1388,FACULDADE SUMARÉ,PRIVADA,67,SECRETARIADO EXECUTIVO,351506150308,SAO PAULO,44.0,46.0,2.3971636295318604,2.410543918609619,3,2009
4104,1388,FACULDADE SUMARÉ,PRIVADA,84,TECNOLOGIA EM MARKETING,351506150308,SAO PAULO,79.0,37.0,0.8753069639205933,1.5537495613098145,2,2009
4105,1388,FACULDADE SUMARÉ,PRIVADA,86,TECNOLOGIA EM GESTÃO DE RECURSOS HUMANOS,351506150308,SAO PAULO,190.0,136.0,1.2487568855285645,1.8723012208938599,2,2009
4106,1388,FACULDADE SUMARÉ,PRIVADA,87,TECNOLOGIA EM GESTÃO FINANCEIRA,351506150308,SAO PAULO,40.0,70.0,0.829307496547699,1.0858664512634277,2,2009
4107,1394,FACULDADE CASTRO ALVES,PRIVADA,1,ADMINISTRAÇÃO,290502127408,SALVADOR,187.0,226.0,1.5819488763809204,1.5800036191940308,2,2009
4109,1394,FACULDADE CASTRO ALVES,PRIVADA,22,CIÊNCIAS CONTÁBEIS,290502127408,SALVADOR,71.0,63.0,1.2798895835876465,1.2798656225204468,2,2009
4110,1395,FACULDADE DE CALDAS NOVAS,PRIVADA,1,ADMINISTRAÇÃO,520501504508,CALDAS NOVAS,11.0,23.0,2.4671566486358643,1.9858973026275635,3,2009
4111,1395,FACULDADE DE CALDAS NOVAS,PRIVADA,2,DIREITO,520501504508,CALDAS NOVAS,90.0,49.0,2.7030844688415527,2.57295823097229,3,2009
4112,1395,FACULDADE DE CALDAS NOVAS,PRIVADA,22,CIÊNCIAS CONTÁBEIS,520501504508,CALDAS NOVAS,17.0,20.0,0.9921470880508423,1.115654706954956,2,2009
4113,1396,FACULDADE DINÂMICA DAS CATARATAS,PRIVADA,1,ADMINISTRAÇÃO,410602408304,FOZ DO IGUACU,141.0,98.0,2.072836399078369,2.0355236530303955,3,2009
4114,1396,FACULDADE DINÂMICA DAS CATARATAS,PRIVADA,2,DIREITO,410602408304,FOZ DO IGUACU,133.0,104.0,2.3012099266052246,2.5495388507843018,3,2009
4115,1396,FACULDADE DINÂMICA DAS CATARATAS,PRIVADA,8,COMUNICAÇÃO SOCIAL,410602408304,FOZ DO IGUACU,25.0,23.0,1.984971523284912,1.6312880516052246,2,2009
4116,1396,FACULDADE DINÂMICA DAS CATARATAS,PRIVADA,8,COMUNICAÇÃO SOCIAL,410602408304,FOZ DO IGUACU,36.0,25.0,1.915037751197815,1.9161221981048584,2,2009
4119,1396,FACULDADE DINÂMICA DAS CATARATAS,PRIVADA,29,TURISMO,410602408304,FOZ DO IGUACU,12.0,28.0,2.817479372024536,2.064697027206421,3,2009
4120,1399,FACULDADE UNISSA DE SARANDI,PRIVADA,1,ADMINISTRAÇÃO,410300926256,SARANDI,28.0,27.0,1.5762484073638916,1.8887418508529663,2,2009
4122,1399,FACULDADE UNISSA DE SARANDI,PRIVADA,85,TECNOLOGIA EM PROCESSOS GERENCIAIS,410300926256,SARANDI,18.0,43.0,0.4342575967311859,1.2369458675384521,2,2009
4123,1400,FACULDADE METROPOLITANA DE CURITIBA,PRIVADA,1,ADMINISTRAÇÃO,411003725506,SAO JOSE DOS PINHAIS,75.0,127.0,2.159174919128418,2.0155036449432373,3,2009
4124,1400,FACULDADE METROPOLITANA DE CURITIBA,PRIVADA,2,DIREITO,411003725506,SAO JOSE DOS PINHAIS,69.0,102.0,1.83073890209198,1.8511093854904175,2,2009
4125,1400,FACULDADE METROPOLITANA DE CURITIBA,PRIVADA,22,CIÊNCIAS CONTÁBEIS,411003725506,SAO JOSE DOS PINHAIS,57.0,14.0,2.747063398361206,2.1865618228912354,3,2009
4126,1401,FACULDADE ADELMAR ROSADO,PRIVADA,1,ADMINISTRAÇÃO,220200311001,TERESINA,30.0,21.0,1.0756855010986328,1.2032829523086548,2,2009
4127,1403,FACULDADE DE PIMENTA BUENO,PRIVADA,1,ADMINISTRAÇÃO,110200700189,PIMENTA BUENO,26.0,22.0,1.028876781463623,1.5747742652893066,2,2009
4128,1404,FACULDADE DE PIRACANJUBA,PRIVADA,1,ADMINISTRAÇÃO,520501517104,PIRACANJUBA,5.0,26.0,0.5985434651374817,0.8942412734031677,1,2009
4130,1409,FACULDADE DO CENTRO LESTE,PRIVADA,26,DESIGN,320300905002,SERRA,22.0,25.0,2.130499839782715,1.5714733600616455,2,2009
4131,1411,FACULDADE DOIS DE JULHO,PRIVADA,1,ADMINISTRAÇÃO,290502127408,SALVADOR,15.0,50.0,2.2970621585845947,1.9085124731063843,2,2009
4132,1411,FACULDADE DOIS DE JULHO,PRIVADA,2,DIREITO,290502127408,SALVADOR,145.0,77.0,2.5407538414001465,2.0322277545928955,3,2009
4133,1411,FACULDADE DOIS DE JULHO,PRIVADA,8,COMUNICAÇÃO SOCIAL,290502127408,SALVADOR,27.0,64.0,3.3077313899993896,2.4692769050598145,3,2009
4134,1411,FACULDADE DOIS DE JULHO,PRIVADA,8,COMUNICAÇÃO SOCIAL,290502127408,SALVADOR,15.0,30.0,2.163180112838745,1.795048713684082,2,2009
4135,1412,FACULDADE ANHAGUERA DE JUNDIAÍ,PRIVADA,1,ADMINISTRAÇÃO,351204725904,JUNDIAI,121.0,105.0,2.003516435623169,1.89985191822052,2,2009
4137,1412,FACULDADE ANHAGUERA DE JUNDIAÍ,PRIVADA,8,COMUNICAÇÃO SOCIAL,351204725904,JUNDIAI,33.0,64.0,2.4950904846191406,2.1905739307403564,3,2009
4138,1412,FACULDADE ANHAGUERA DE JUNDIAÍ,PRIVADA,18,PSICOLOGIA,351204725904,JUNDIAI,57.0,37.0,2.517056941986084,2.252103567123413,3,2009
4139,1412,FACULDADE ANHAGUERA DE JUNDIAÍ,PRIVADA,86,TECNOLOGIA EM GESTÃO DE RECURSOS HUMANOS,351204725904,JUNDIAI,117.0,136.0,2.0806045532226562,2.7177300453186035,3,2009
4140,1413,FACULDADE DE PRIMAVERA,PRIVADA,1,ADMINISTRAÇÃO,350803644251,ROSANA,46.0,22.0,1.777981162071228,1.489019751548767,2,2009
4141,1414,FACULDADE SÃO LUCAS,PRIVADA,1,ADMINISTRAÇÃO,110100100205,PORTO VELHO,53.0,42.0,1.9222898483276367,2.4916834831237793,3,2009
4142,1414,FACULDADE SÃO LUCAS,PRIVADA,2,DIREITO,110100100205,PORTO VELHO,56.0,18.0,2.649876594543457,2.588653564453125,3,2009
4147,1417,FACULDADE CENECISTA DE CAMPO LARGO,PRIVADA,1,ADMINISTRAÇÃO,411003704204,CAMPO LARGO,76.0,62.0,2.212458372116089,1.993550419807434,3,2009
4148,1417,FACULDADE CENECISTA DE CAMPO LARGO,PRIVADA,2,DIREITO,411003704204,CAMPO LARGO,56.0,56.0,2.0005109310150146,1.9446667432785034,2,2009
4149,1418,CENTRO UNIVERSITÁRIO TOLEDO,PRIVADA,1,ADMINISTRAÇÃO,350301702804,ARACATUBA,118.0,119.0,1.9197721481323242,1.782191514968872,2,2009
4150,1418,CENTRO UNIVERSITÁRIO TOLEDO,PRIVADA,2,DIREITO,350301702804,ARACATUBA,291.0,239.0,2.1718029975891113,2.3072597980499268,3,2009
4151,1418,CENTRO UNIVERSITÁRIO TOLEDO,PRIVADA,8,COMUNICAÇÃO SOCIAL,350301702804,ARACATUBA,19.0,59.0,2.849111557006836,1.946683645248413,3,2009
4153,1418,CENTRO UNIVERSITÁRIO TOLEDO,PRIVADA,22,CIÊNCIAS CONTÁBEIS,350301702804,ARACATUBA,43.0,33.0,3.1504499912261963,2.46425724029541,3,2009
4155,1418,CENTRO UNIVERSITÁRIO TOLEDO,PRIVADA,83,TECNOLOGIA EM DESIGN DE MODA,350301702804,ARACATUBA,40.0,39.0,2.9104199409484863,2.210622787475586,3,2009
4156,1419,CENTRO UNIVERSITÁRIO CURITIBA,PRIVADA,1,ADMINISTRAÇÃO,411003706902,CURITIBA,64.0,108.0,2.2039387226104736,2.1428964138031006,3,2009
4157,1419,CENTRO UNIVERSITÁRIO CURITIBA,PRIVADA,2,DIREITO,411003706902,CURITIBA,614.0,656.0,2.744659662246704,2.744687795639038,3,2009
4158,1419,CENTRO UNIVERSITÁRIO CURITIBA,PRIVADA,8,COMUNICAÇÃO SOCIAL,411003706902,CURITIBA,22.0,37.0,2.362082004547119,1.9541691541671753,3,2009
4160,1419,CENTRO UNIVERSITÁRIO CURITIBA,PRIVADA,81,RELAÇÕES INTERNACIONAIS,411003706902,CURITIBA,94.0,96.0,1.5085434913635254,1.6236238479614258,2,2009
4161,1419,CENTRO UNIVERSITÁRIO CURITIBA,PRIVADA,84,TECNOLOGIA EM MARKETING,411003706902,CURITIBA,28.0,3.0,2.6727893352508545,2.1717348098754883,3,2009
4162,1419,CENTRO UNIVERSITÁRIO CURITIBA,PRIVADA,86,TECNOLOGIA EM GESTÃO DE RECURSOS HUMANOS,411003706902,CURITIBA,26.0,10.0,4.810385227203369,3.257497787475586,4,2009
4163,1419,CENTRO UNIVERSITÁRIO CURITIBA,PRIVADA,87,TECNOLOGIA EM GESTÃO FINANCEIRA,411003706902,CURITIBA,14.0,6.0,4.515660285949707,3.7590744495391846,4,2009
4164,1420,FACULDADES DE DRACENA,PRIVADA,18,PSICOLOGIA,350803414403,DRACENA,27.0,26.0,2.461585283279419,2.3826804161071777,3,2009
4165,1422,CENTRO UNIVERSITÁRIO DO NORTE,PRIVADA,1,ADMINISTRAÇÃO,130300702603,MANAUS,686.0,589.0,1.8446420431137085,1.7093470096588135,2,2009
4166,1422,CENTRO UNIVERSITÁRIO DO NORTE,PRIVADA,2,DIREITO,130300702603,MANAUS,404.0,184.0,2.0648117065429688,1.8743083477020264,2,2009
4167,1422,CENTRO UNIVERSITÁRIO DO NORTE,PRIVADA,8,COMUNICAÇÃO SOCIAL,130300702603,MANAUS,50.0,58.0,2.839047908782959,2.205597162246704,3,2009
4168,1422,CENTRO UNIVERSITÁRIO DO NORTE,PRIVADA,8,COMUNICAÇÃO SOCIAL,130300702603,MANAUS,68.0,41.0,2.3681116104125977,2.1120569705963135,3,2009
4169,1422,CENTRO UNIVERSITÁRIO DO NORTE,PRIVADA,8,COMUNICAÇÃO SOCIAL,130300702603,MANAUS,2.0,21.0,1.4979822635650635,1.436867117881775,2,2009
4170,1422,CENTRO UNIVERSITÁRIO DO NORTE,PRIVADA,13,CIÊNCIAS ECONÔMICAS,130300702603,MANAUS,32.0,40.0,1.6658738851547241,1.7167822122573853,2,2009
4171,1422,CENTRO UNIVERSITÁRIO DO NORTE,PRIVADA,18,PSICOLOGIA,130300702603,MANAUS,243.0,46.0,1.9324191808700562,1.6711095571517944,2,2009
4172,1422,CENTRO UNIVERSITÁRIO DO NORTE,PRIVADA,22,CIÊNCIAS CONTÁBEIS,130300702603,MANAUS,294.0,142.0,1.9411174058914185,1.782900333404541,2,2009
4173,1422,CENTRO UNIVERSITÁRIO DO NORTE,PRIVADA,29,TURISMO,130300702603,MANAUS,71.0,37.0,2.6074419021606445,2.0122501850128174,3,2009
4175,1423,FACULDADE IDEAL,PRIVADA,1,ADMINISTRAÇÃO,150300701402,BELEM,46.0,123.0,2.8431649208068848,3.091506004333496,4,2009
4176,1423,FACULDADE IDEAL,PRIVADA,2,DIREITO,150300701402,BELEM,153.0,75.0,2.71748423576355,2.8205833435058594,3,2009
4177,1423,FACULDADE IDEAL,PRIVADA,22,CIÊNCIAS CONTÁBEIS,150300701402,BELEM,34.0,53.0,2.44429087638855,2.926380157470703,3,2009
4178,1423,FACULDADE IDEAL,PRIVADA,85,TECNOLOGIA EM PROCESSOS GERENCIAIS,150300701402,BELEM,13.0,25.0,2.19511079788208,3.29160737991333,4,2009
4179,1423,FACULDADE IDEAL,PRIVADA,87,TECNOLOGIA EM GESTÃO FINANCEIRA,150300701402,BELEM,7.0,21.0,3.1714258193969727,3.8068125247955322,4,2009
4180,1425,FACULDADE EVOLUTIVO,PRIVADA,1,ADMINISTRAÇÃO,230301604400,FORTALEZA,160.0,104.0,1.602013111114502,1.554999589920044,2,2009
4181,1425,FACULDADE EVOLUTIVO,PRIVADA,8,COMUNICAÇÃO SOCIAL,230301604400,FORTALEZA,9.0,20.0,2.307827949523926,2.1918928623199463,3,2009
4182,1425,FACULDADE EVOLUTIVO,PRIVADA,29,TURISMO,230301604400,FORTALEZA,20.0,32.0,2.0154123306274414,1.3832937479019165,2,2009
4183,1426,INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA,PRIVADA,1,ADMINISTRAÇÃO,520501511503,ITUMBIARA,25.0,44.0,2.8880434036254883,2.6627299785614014,3,2009
4184,1426,INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA,PRIVADA,2,DIREITO,520501511503,ITUMBIARA,57.0,87.0,1.2682271003723145,1.5039957761764526,2,2009
4185,1426,INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA,PRIVADA,18,PSICOLOGIA,520501511503,ITUMBIARA,27.0,21.0,2.693169116973877,2.4825823307037354,3,2009
4186,1426,INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA,PRIVADA,22,CIÊNCIAS CONTÁBEIS,520501511503,ITUMBIARA,21.0,34.0,1.8391900062561035,1.7684890031814575,2,2009
4187,1427,FACULDADE DA SERRA GAÚCHA,PRIVADA,1,ADMINISTRAÇÃO,430201605108,CAXIAS DO SUL,435.0,310.0,2.0940043926239014,1.9696576595306396,3,2009
4188,1427,FACULDADE DA SERRA GAÚCHA,PRIVADA,2,DIREITO,430201605108,CAXIAS DO SUL,113.0,50.0,2.025261163711548,2.343116044998169,3,2009
4189,1427,FACULDADE DA SERRA GAÚCHA,PRIVADA,18,PSICOLOGIA,430201605108,CAXIAS DO SUL,93.0,12.0,2.801771640777588,2.6946496963500977,3,2009
4190,1427,FACULDADE DA SERRA GAÚCHA,PRIVADA,22,CIÊNCIAS CONTÁBEIS,430201605108,CAXIAS DO SUL,126.0,6.0,2.539757251739502,2.08668851852417,3,2009
4191,1427,FACULDADE DA SERRA GAÚCHA,PRIVADA,26,DESIGN,430201605108,CAXIAS DO SUL,84.0,9.0,2.9713189601898193,2.2585806846618652,3,2009
4193,1428,INSTITUTO DE ENSINO SUPERIOR PLANALTO,PRIVADA,2,DIREITO,530100100108,BRASILIA,53.0,184.0,1.4833905696868896,1.5884405374526978,2,2009
4194,1430,FACULDADE INGÁ,PRIVADA,18,PSICOLOGIA,410300915200,MARINGA,79.0,28.0,3.1071510314941406,2.875732183456421,3,2009
4198,1433,FACULDADE ORÍGENES LESSA,PRIVADA,1,ADMINISTRAÇÃO,350402026803,LENCOIS PAULISTA,46.0,65.0,2.214043617248535,2.2130463123321533,3,2009
4199,1434,INSTITUTO DE ENSINO SUPERIOR DE ITAPIRA,PRIVADA,1,ADMINISTRAÇÃO,350703122604,ITAPIRA,48.0,48.0,4.037397384643555,3.2247211933135986,4,2009
4201,1436,ESCOLA SUPERIOR BATISTA DO AMAZONAS,PRIVADA,1,ADMINISTRAÇÃO,130300702603,MANAUS,42.0,23.0,2.257248640060425,2.239938497543335,3,2009
4202,1436,ESCOLA SUPERIOR BATISTA DO AMAZONAS,PRIVADA,2,DIREITO,130300702603,MANAUS,150.0,137.0,1.7214033603668213,2.013227939605713,3,2009
4205,1437,ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO,PRIVADA,1,ADMINISTRAÇÃO,350602643907,RIO CLARO,78.0,27.0,1.6714231967926025,2.1627814769744873,3,2009
4206,1438,FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS,PRIVADA,1,ADMINISTRAÇÃO,350703209502,CAMPINAS,83.0,70.0,4.870555400848389,4.737331867218018,5,2009
4207,1439,FACULDADE DE CIÊNCIAS ECONÔMICAS,PRIVADA,2,DIREITO,350703209502,CAMPINAS,66.0,47.0,3.960888385772705,3.837812662124634,4,2009
4208,1439,FACULDADE DE CIÊNCIAS ECONÔMICAS,PRIVADA,8,COMUNICAÇÃO SOCIAL,350703209502,CAMPINAS,19.0,16.0,3.2613778114318848,3.2269883155822754,4,2009
4209,1439,FACULDADE DE CIÊNCIAS ECONÔMICAS,PRIVADA,8,COMUNICAÇÃO SOCIAL,350703209502,CAMPINAS,31.0,17.0,2.9603514671325684,3.0863850116729736,4,2009
4210,1439,FACULDADE DE CIÊNCIAS ECONÔMICAS,PRIVADA,13,CIÊNCIAS ECONÔMICAS,350703209502,CAMPINAS,28.0,40.0,3.7876737117767334,3.743419647216797,4,2009
4211,1439,FACULDADE DE CIÊNCIAS ECONÔMICAS,PRIVADA,26,DESIGN,350703209502,CAMPINAS,40.0,29.0,2.7025604248046875,2.9437785148620605,3,2009
4212,1439,FACULDADE DE CIÊNCIAS ECONÔMICAS,PRIVADA,81,RELAÇÕES INTERNACIONAIS,350703209502,CAMPINAS,111.0,118.0,2.9265072345733643,2.606576442718506,3,2009
4213,1440,INSTITUTO APHONSIANO DE ENSINO SUPERIOR,PRIVADA,1,ADMINISTRAÇÃO,520301021403,TRINDADE,12.0,29.0,2.4486045837402344,2.3845348358154297,3,2009
4216,1440,INSTITUTO APHONSIANO DE ENSINO SUPERIOR,PRIVADA,22,CIÊNCIAS CONTÁBEIS,520301021403,TRINDADE,13.0,9.0,1.6327372789382935,1.7011469602584839,2,2009
4218,1442,FACULDADE DE DIREITO DE TANGARÁ DA SERRA,PRIVADA,2,DIREITO,510301307958,TANGARA DA SERRA,52.0,32.0,2.00767183303833,1.6618013381958008,2,2009
4219,1443,FACULDADE NACIONAL,PRIVADA,1,ADMINISTRAÇÃO,320300905309,VITORIA,44.0,7.0,2.171388864517212,1.3419634103775024,2,2009
4220,1443,FACULDADE NACIONAL,PRIVADA,2,DIREITO,320300905309,VITORIA,47.0,97.0,0.6555464863777161,0.7223737239837646,1,2009
